Barangay,overall_share,recent_share
A. BONIFACIO-CAGUIOA-RIMANDO,0.015224856367173814,0.0
A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),0.0111141747055262,0.0
ABANAO-ZANDUETA-KAYONG-CHUGUM-OTEK,0.0022048934577819303,0.0
ALFONSO TABORA,0.008577975256185956,0.0
AMBIONG,0.013373799536951175,0.03810389217022565
ANDRES BONIFACIO,0.00964281864485028,0.0
ANDRES BONIFACIO (LOWER BOKAWKAN),0.011568883890780302,0.0
APUGAN-LOAKAN,0.013925302344019978,0.016299709848096946
ASIN ROAD,0.040495139629523946,0.04824742961953321
ATOK TRAIL,0.009915076372016602,0.018518518518518517
AURORA HILL PROPER,0.011880397445946352,0.021505376344086023
AURORA HILL PROPER (MALVAR-SGT. FLORESCA),0.016451128900714637,0.0
"AURORA HILL, NORTH CENTRAL",0.0070440500353404975,0.0
"AURORA HILL, SOUTH CENTRAL",0.009066887485257386,0.018518518518518517
AZKCO,0.01098901098901099,0.0
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813
BAKAKENG NORTH,0.031713512950439615,0.04225352112676056
BAL-MARCOVILLE,0.004900068836108636,0.0
BAL-MARCOVILLE (MARCOVILLE),0.0029178821803801866,0.0
BALSIGAN,0.018198826328624757,0.03046174297878069
BAYAN PARK EAST,0.008733808240538508,0.016855764214919144
BAYAN PARK VILLAGE,0.005244522277322366,0.0
BAYAN PARK WEST,0.011555436430478272,0.010752688172043012
BAYAN PARK WEST (BAYAN PARK),0.00993644901403988,0.0
"BAYAN PARK, EAST",0.0006934812760055479,0.0
BGH COMPOUND,0.014700542507853678,0.019371906468680665
BROOKSIDE,0.010710221091892265,0.010752688172043012
BROOKSPOINT,0.013107881526982536,0.0
BURNHAM-LEGARDA-KISAD,0.0010645848119233499,0.0
CABINET HILL-TEACHER'S CAMP,0.013405186762074112,0.018518518518518517
CAMDAS SUBDIVISION,0.010891636723397727,0.018518518518518517
CAMP 7,0.05260247531961397,0.07195130159691723
CAMP 8,0.027513281058517875,0.010752688172043012
CAMP ALLEN,0.015977416085353455,0.016855764214919144
CAMPO FILIPINO,0.012225925774298428,0.018518518518518517
CITY CAMP CENTRAL,0.01160167449829462,0.018518518518518517
CITY CAMP PROPER,0.014197824667003879,0.010752688172043012
COUNTRY CLUB VILLAGE,0.008297450569648713,0.0
CRESENCIA VILLAGE,0.01393283911563931,0.0
"DAGSIAN, LOWER",0.00881987436441062,0.016299709848096946
"DAGSIAN, UPPER",0.005526063241343298,0.0
DIZON SUBDIVISION,0.0076907271097594165,0.0
DOMINICAN HILL-MIRADOR,0.015020287210642485,0.01705285476298652
DONTOGAN,0.014648554964830397,0.01408450704225352
DPS AREA,0.009108315198818107,0.0
ENGINEERS' HILL,0.01331129875644272,0.037037037037037035
FAIRVIEW VILLAGE,0.022199649377479237,0.029804634257155835
FERDINAND,0.0108702922963161,0.016299709848096946
FERDINAND (HAPPY HOMES-CAMPO SIOCO),0.010982570777634908,0.0
FORT DEL PILAR,0.012595409442947061,0.0
GABRIELA SILANG,0.01842431555907383,0.018518518518518517
GENERAL EMILIO F. AGUINALDO,0.001404809036358004,0.0
"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",0.02957987240482632,0.0
"GENERAL LUNA, LOWER",0.0038054685982949706,0.0
"GENERAL LUNA, UPPER",0.007661001292752662,0.012751779494169318
GIBRALTAR,0.0256567382028497,0.010752688172043012
GREENWATER VILLAGE,0.009009889610666877,0.0
GUISAD CENTRAL,0.015045579087301749,0.01408450704225352
GUISAD SORONG,0.012834062514595018,0.07042253521126761
GUISAD SURONG,0.00035486160397445,0.0
HAPPY HOLLOW,0.010499862392302568,0.018518518518518517
HAPPY HOMES,0.010513918973961787,0.03225806451612903
HAPPY HOMES (HAPPY HOMES-LUCBAN),0.014811403474952915,0.0
HARRISON-CLAUDIO CARANTES,0.01,0.0
HILLSIDE,0.010484824861130263,0.0
HOLY GHOST EXTENSION,0.013546610934805506,0.012751779494169318
HOLY GHOST PROPER,0.009430139713221332,0.010752688172043012
HOLYGHOST EXTENSION,0.00034674063800277393,0.0
HONEYMOON,0.011782810540811135,0.0
HONEYMOON (HONEYMOON-HOLY GHOST),0.008947342390148848,0.0
IMELDA R. MARCOS,0.007710869303299596,0.010752688172043012
IMELDA R. MARCOS (LA SALLE),0.0063248484089374925,0.0
IMELDA VILLAGE,0.010702149333658014,0.018518518518518517
IRISAN,0.08043941817927641,0.06322546990425228
KABAYANIHAN,0.0053185830734311206,0.0
KAGITINGAN,0.002882266699760035,0.0
KAYANG EXTENSION,0.009188434562808151,0.0
KAYANG-HILLTOP,0.02043479107724134,0.0
KIAS,0.03100431958926556,0.024085853231696028
LEGARDA-BURNHAM-KISAD,0.011080265765694961,0.0
LIWANAG-LOAKAN,0.019213489096757252,0.03225806451612903
LOAKAN PROPER,0.03835140492788289,0.046248338297406905
LOPEZ JAENA,0.010017775798486228,0.018518518518518517
LOURDES SUBDIVISION EXTENSION,0.009976885449244199,0.02816901408450704
"LOURDES SUBDIVISION, LOWER",0.004487591143057561,0.01408450704225352
"LOURDES SUBDIVISION, PROPER",0.005727180185290716,0.010752688172043012
LOWER DAGSIAN,0.00034674063800277393,0.0
LOWER ROCK QUARRY,0.00034674063800277393,0.0
LUALHATI,0.007125871831034546,0.010752688172043012
